	 PLM  HHZ  7247      P IU1  36.90    6.42
	 MIR  VHZ   474      P E 3  38.73    6.52
	 MIR  VHZ   474      S E 3  38.73   11.29
	 POB  VHZ   605      P IU1  45.67    7.71
	 MEC  VHZ   472      P E 3  46.07    8.79
	 MEC  VHZ   472      S E 3  46.07   13.45
	 JUL  VHZ   424      P ID1  49.59    8.30
	 JUL  VHZ   424      S E 3  49.59   14.17
	 FRG  VHZ   330      P IU1  50.14    8.82
	 EW2  VHZ  1011      P E 3  51.46    9.51
	 BAC  VHZ   123      P E 2  52.40    8.68
	 HMT  VHZ   392      P E 3  53.29    9.04
	 OLY  VHZ   515      P E 2  57.81    9.80
	 OLY  VHZ   515      S E 2  57.81   16.77
	 WIN  VHZ   895      P E 2  60.44   10.02
	 PEC  VHZ   568      P E 3  76.50   12.92
	 TPC  VHZ   814      P E 3  80.46   13.49
2000/08/01 04:22:31.1 L 1.3 h  33.392 -116.391   6.0 C 9158967   9  50  0  0
	 MIR  VHZ   474      P IU1  28.64    5.08
	 JUL  VHZ   424      P ID1  43.39    7.39
	 JUL  VHZ   424      S E 3  43.39   12.54
	 PSP  VHZ   620      S E 3  47.00   13.47
	 POB  VHZ   605      P E 2  59.08   10.05
	 BAC  VHZ   123      P E 2  64.70   10.67
	 HMT  VHZ   392      P ID1  66.59   11.15
	 WIN  VHZ   895      P E 2  73.23   12.09
	 SKY  VHZ   716      P E 3  78.61   13.18
2000/08/01 04:41:18.9 L 1.6 h  34.710 -116.222   7.3 B 9158968  10  59  0  0
	 RAG  VHZ  1034      P IU0   7.17    1.77
	 RAG  VHZ  1034      S E 2   7.17    3.17
	 CDY  VHZ   184      P IU1  17.06    3.11
	 CDY  VHZ   184      S E 2  17.06    5.69
	 HDB  VHZ  1032      P E 3  34.88    5.98
	 RMM  VHZ   647      S E 3  37.82   11.24
	 TPM  VHZ  1033      P E 3  40.72    6.85
	 GRP  VHZ   355      P E 3  57.66    9.93
	 TPC  VHZ   814      P E 3  69.06   11.79
	0299    C 65535      P E 2 11387.92    9.06
2000/08/01 05:00:42.4 L 1.4 h  34.651 -116.286   7.5 C 9158969  14  53  0  0
	 RAG  VHZ  1034      P ID0  12.91    2.54
	 RAG  VHZ  1034      S E 2  12.91    4.55
	 CDY  VHZ   184      P IU1  20.46    3.72
	 CDY  VHZ   184      S E 3  20.46    6.60
	 HDB  VHZ  1032      P E 3  27.81    4.90
	 HDB  VHZ  1032      S E 2  27.81    8.51
	 RMM  VHZ   647      P E 3  31.20    5.50
	 TPM  VHZ  1033      P E 3  37.17    6.27
	 TPM  VHZ  1033      S E 3  37.17   11.30
	 GTM  VHZ   377      P E 3  40.15    6.53
	 GTM  VHZ   377      S E 3  40.15   11.71
	 RMR  VHZ   654      P E 3  55.59    9.21
	 GRP  VHZ   355      P E 2  64.88   10.77
	0299    C 65535      P E 3 11391.25    9.80
2000/08/01 05:47:03.6 L 1.2 h  34.031 -116.781  19.9 B 9158970  11  51  0  0
	 RAY  VHZ   633      P ID1   3.04    3.27
	 RAY  VHZ   633      S E 2   3.04    5.69
	 PSP  VHZ   620      S E 3  33.92   10.81
	 EW2  VHZ  1011      P E 3  35.82    6.74
	 EW2  VHZ  1011      S E 3  35.82   11.40
	 POB  VHZ   605      P E 3  40.46    7.53
	 POB  VHZ   605      S E 3  40.46   12.82
	 WIN  VHZ   895      P E 2  48.81    8.49
	 WIN  VHZ   895      S E 2  48.81   14.54
	 BAC  VHZ   123      P E 3  52.36    9.03
	 BAC  VHZ   123      S E 3  52.36   15.38
2000/08/01 05:49:53.6 L 1.3 h  34.525 -116.259   9.1 C 9158971  13  53  0  0
	 HDB  VHZ  1032      P E 3  14.03    2.84
	 HDB  VHZ  1032      S E 3  14.03    5.24
	 RAG  VHZ  1034      P E 3  20.17    3.54
	 TPM  VHZ  1033      P IU1  24.33    4.32
	 GTM  VHZ   377      P E 2  27.14    4.72
	 GTM  VHZ   377      S E 2  27.14    8.34
	 CDY  VHZ   184      P E 3  34.68    6.01
	 CDY  VHZ   184      S E 3  34.68   10.59
	 RMM  VHZ   647      P E 3  36.18    6.12
	 RMR  VHZ   654      P E 3  45.39    7.77
	 TPC  VHZ   814      P E 3  50.48    8.87
	 SIL  VHZ   711      P E 3  55.98    9.48
	 SHE  VHZ  1035      P E 3  59.52   10.66
2000/08/01 06:47:02.3 L 1.3 c  35.797 -117.650   4.1 A 9158972  13  67  0  0
	 CLC  VHZ   202      P IU1   5.27    1.18
	 CLC  VLN   203      S E 2   5.27    2.17
	 TOW  VHZ   813      P IU1  10.68    2.43
	 SRT  VHZ   746      P ID1  14.87    3.06
	 WRC  VHZ   911      P IU1  16.90    3.14
	 WNM  VHZ   908      P IU1  24.14    4.31
	 WSH  VHZ   918      P E 2  26.31    4.52
